nop	|000000:00000:00000:00000:00000:000000	|SPECIAL:::::SLL
add	|000000:rs:rt:rd:00000:100000		|SPECIAL:::::ADD
addi	|001000:rs:rt:imm16			|ADDI:::
addiu	|001001:rs:rt:imm16			|ADDIU:::
sub	|000000:rs:rt:rd:00000:100010		|SPECIAL:::::SUB
subu	|000000:rs:rt:rd:00000:100011		|SPECIAL:::::SUBU

and	|000000:rs:rt:rd:00000:100100		|SPECIAL:::::AND
andi	|001100:rs:rt:imm16			|ANDI:::
nor	|000000:rs:rt:rd:00000:100111		|SPECIAL:::::NOR
or	|000000:rs:rt:rd:00000:100101		|SPECIAL:::::OR
ori	|001101:rs:rt:imm16			|ORI:::
xor	|000000:rs:rt:rd:00000:100110		|SPECIAL:::::XOR
xori	|001110:rs:rt:imm16			|XORI:::

sll	|000000:00000:rt:rd:sa:000000		|SPECIAL:::::SLL
sllv	|000000:rs:rt:rd:00000:000100		|SPECIAL:::::SLLV
sra	|000000:00000:rt:rd:sa:000011		|SPECIAL:::::SRA
srav	|000000:rs:rt:rd:00000:000111		|SPECIAL:::::SRAV
srl	|000000:0000:0:rt:rd:sa:000010		|SPECIAL::R::::SRL
srlv	|000000:rs:rt:rd:0000:0:000110		|SPECIAL:::::R:SRLV
rotr	|000000:0000:1:rt:rd:sa:000010		|SPECIAL::R::::SRL
rotrv	|000000:rs:rt:rd:00001:000110		|SPECIAL:::::R:SRLV

slt	|000000:rs:rt:rd:00000:101010		|SPECIAL::::SLT
slti	|001010:rs:rt:imm16			|SLTI:::
sltu	|000000:rs:rt:rd:00000:101011		|SPECIAL::::SLTU
sltiu	|001011:rs:rt:imm16			|SLTIU:::

lui	|001111:00000:rt:imm16			|LUI:::

seb	|011111:00000:rt:rd:10000:100000	|SPECIAL3::::SEB:BSHFL
seh	|011111:00000:rt:rd:10100:100000	|SPECIAL3::::SEH:BSHFL

bitrev	|011111:00000:rt:rd:10100:100000	|SPECIAL3::::BITREV:BSHFL

max	|000000:rs:rt:rd:00000:101100		|SPECIAL:::::MAX
min	|000000:rs:rt:rd:00000:101101		|SPECIAL:::::MIN

div	|000000:rs:rt:00000:00000:011010	|SPECIAL:::::DIV
divu	|000000:rs:rt:00000:00000:011011	|SPECIAL:::::DIVU

mult	|000000:rs:rt:00000:00000:011000	|SPECIAL:::::MULT
multu	|000000:rs:rt:00000:00000:011001	|SPECIAL:::::MULTU

madd	|000000:rs:rt:00000:00000:011100	|SPECIAL:::::MADD
maddu	|000000:rs:rt:00000:00000:011101	|SPECIAL:::::MADDU
msub	|000000:rs:rt:00000:00000:101110	|SPECIAL:::::MSUB
msubu	|000000:rs:rt:00000:00000:101111	|SPECIAL:::::MSUBU

movz	|000000:rs:rt:rd:00000:001010		|SPECIAL:::::MOVZ
movn	|000000:rs:rt:rd:00000:001011		|SPECIAL:::::MOVN

ext	|011111:rs:rt:msb:lsb:000000		|SPECIAL3:::::INS
ins	|011111:rs:rt:msb:lsb:000100		|SPECIAL3:::::EXT

clz	|000000:rs:00000:rd:00000:010110	|SPECIAL:::::CLZ
clo	|000000:rs:00000:rd:00000:010111	|SPECIAL:::::CLO

